phi_sgo,wo,so
0.6684,1.011,0.8157
0.7639,1.011,0.8157
0.8601,1.01,0.8182
0.9096,1.008,0.8233
0.9615,1.004,0.8333
1,0.9997,0.8439
1.055,0.9903,0.8621
1.108,0.9789,0.8825
1.197,0.9567,0.9214
1.302,0.9273,0.9723
1.407,0.8964,1.025
1.529,0.8604,1.083
1.641,0.8287,1.13
1.702,0.8123,1.153
1.832,0.7796,1.196
1.937,0.7554,1.225
2.044,0.7326,1.25
2.261,0.6928,1.287
2.499,0.6585,1.313
2.732,0.6345,1.333
2.993,0.615,1.352
3.477,0.5877,1.38
4.075,0.564,1.403
4.469,0.5523,1.414
5.016,0.5395,1.426
6.158,0.5209,1.444
7.821,0.5045,1.458
10.06,0.4917,1.469
14.38,0.479,1.48
19.97,0.4712,1.486
25.79,0.4668,1.49
38.57,0.462,1.493
68.74,0.4578,1.497
91.95,0.4564,1.498
231.2,0.4541,1.499
2320,0.4527,1.5